Date,Value
2023-10-31,258.5
2023-09-30,245.29
2023-08-31,236.87
2023-07-31,212.36
2023-06-30,231.48
2023-05-31,263.37
2023-04-30,265
2023-03-31,266.04
2023-02-28,307.03
2023-01-31,511.14
2022-12-31,535.82
2022-11-30,545.97
2022-10-31,552.97
2022-09-30,497.28
2022-08-31,409.28
2022-07-31,465.67
2022-06-30,562.38
2022-05-31,627.05
2022-04-30,629.05
2022-03-31,584
2022-02-28,550.02
2022-01-31,550
2021-12-31,561.85
2021-11-30,556.37
2021-10-31,442.26
2021-09-30,295
2021-08-31,294.09
2021-07-31,298.31
2021-06-30,320.63
2021-05-31,296.71
2021-04-30,293.73
2021-03-31,269.31
2021-02-28,202.45
2021-01-31,146.36
2020-12-31,123.48
2020-11-30,120
2020-10-31,120
2020-09-30,120
2020-08-31,119.17
2020-07-31,117.63
2020-06-30,130.88
2020-05-31,211.19
2020-04-30,269.59
2020-03-31,264.27
2020-02-29,241
2020-01-31,220.83
2019-12-31,215.05
2019-11-30,211.38
2019-10-31,235.91
2019-09-30,254.76
